time,local_time,total_demand,heating_demand,cooling_demand
2024-01-01 00:00,2023-12-31 15:00,4.227,4.227,0
2024-01-01 01:00,2023-12-31 16:00,4.407,4.407,0
2024-01-01 02:00,2023-12-31 17:00,4.530,4.530,0
2024-01-01 03:00,2023-12-31 18:00,4.610,4.610,0
2024-01-01 04:00,2023-12-31 19:00,4.709,4.709,0
2024-01-01 05:00,2023-12-31 20:00,4.898,4.898,0
2024-01-01 06:00,2023-12-31 21:00,5.192,5.192,0
2024-01-01 07:00,2023-12-31 22:00,5.409,5.409,0
2024-01-01 08:00,2023-12-31 23:00,5.509,5.509,0
2024-01-01 09:00,2024-01-01 00:00,5.473,5.473,0
2024-01-01 10:00,2024-01-01 01:00,5.340,5.340,0
2024-01-01 11:00,2024-01-01 02:00,5.204,5.204,0
2024-01-01 12:00,2024-01-01 03:00,5.059,5.059,0
2024-01-01 13:00,2024-01-01 04:00,4.893,4.893,0
2024-01-01 14:00,2024-01-01 05:00,4.781,4.781,0
2024-01-01 15:00,2024-01-01 06:00,4.804,4.804,0
2024-01-01 16:00,2024-01-01 07:00,5.070,5.070,0
2024-01-01 17:00,2024-01-01 08:00,5.533,5.533,0
2024-01-01 18:00,2024-01-01 09:00,5.643,5.643,0
2024-01-01 19:00,2024-01-01 10:00,5.376,5.376,0
2024-01-01 20:00,2024-01-01 11:00,5.193,5.193,0
2024-01-01 21:00,2024-01-01 12:00,5.289,5.289,0
2024-01-01 22:00,2024-01-01 13:00,5.398,5.398,0
2024-01-01 23:00,2024-01-01 14:00,5.394,5.394,0
2024-01-02 00:00,2024-01-01 15:00,5.539,5.539,0
2024-01-02 01:00,2024-01-01 16:00,5.629,5.629,0
2024-01-02 02:00,2024-01-01 17:00,5.648,5.648,0
2024-01-02 03:00,2024-01-01 18:00,5.618,5.618,0
2024-01-02 04:00,2024-01-01 19:00,5.617,5.617,0
2024-01-02 05:00,2024-01-01 20:00,5.725,5.725,0
2024-01-02 06:00,2024-01-01 21:00,5.954,5.954,0
