Port Name,Year,Hour of Day,Demand (kW)
Anchorage,100% eCHE,0,508.4
Anchorage,100% eCHE,1,508.4
Anchorage,100% eCHE,2,3756.8
Anchorage,100% eCHE,3,3565.9
Anchorage,100% eCHE,4,988.6
Anchorage,100% eCHE,5,988.6
Anchorage,100% eCHE,6,818.2
Anchorage,100% eCHE,7,508.4
Anchorage,100% eCHE,8,508.4
Anchorage,100% eCHE,9,508.4
Anchorage,100% eCHE,10,508.4
Anchorage,100% eCHE,11,508.4
Anchorage,100% eCHE,12,508.4
Anchorage,100% eCHE,13,508.4
Anchorage,100% eCHE,14,508.4
Anchorage,100% eCHE,15,508.4
Anchorage,100% eCHE,16,508.4
Anchorage,100% eCHE,17,3756.8
Anchorage,100% eCHE,18,508.4
Anchorage,100% eCHE,19,508.4
Anchorage,100% eCHE,20,508.4
Anchorage,100% eCHE,21,508.4
Anchorage,100% eCHE,22,508.4
Anchorage,100% eCHE,23,508.4
Anchorage,2023,0,40.7
Anchorage,2023,1,40.7
Anchorage,2023,2,300.5
Anchorage,2023,3,285.3
Anchorage,2023,4,79.1
Anchorage,2023,5,79.1
Anchorage,2023,6,65.5
Anchorage,2023,7,40.7
Anchorage,2023,8,40.7
Anchorage,2023,9,40.7
Anchorage,2023,10,40.7
Anchorage,2023,11,40.7
Anchorage,2023,12,40.7
Anchorage,2023,13,40.7
Anchorage,2023,14,40.7
Anchorage,2023,15,40.7
Anchorage,2023,16,40.7
Anchorage,2023,17,300.5
Anchorage,2023,18,40.7
Anchorage,2023,19,40.7
Anchorage,2023,20,40.7
Anchorage,2023,21,40.7
Anchorage,2023,22,40.7
Anchorage,2023,23,40.7
Anchorage,2024,0,50.8
Anchorage,2024,1,50.8
Anchorage,2024,2,375.7
Anchorage,2024,3,356.6
Anchorage,2024,4,98.9
Anchorage,2024,5,98.9
Anchorage,2024,6,81.8
Anchorage,2024,7,50.8
Anchorage,2024,8,50.8
Anchorage,2024,9,50.8
Anchorage,2024,10,50.8
Anchorage,2024,11,50.8
Anchorage,2024,12,50.8
Anchorage,2024,13,50.8
